"Gene_ID","Gene_name","Fourier_score","P_value","FDR"
"YAL067C","SEO1",4.92823266537949,0.16828,0.311382058920887
"YAL063C","FLO9",4.26328580032351,0.28523,0.438952711257914
"YAL062W","GDH3",2.07441870167278,0.77236,0.830606464024625
"YAL061W","BDH2",4.25064136531756,0.28669,0.440744679681056
"YAL060W","BDH1",4.69695413723934,0.21331,0.365095805266381
"YAL059W","ECM1",2.81627909418086,0.58856,0.691913859095689
"YAL058W","CNE1",4.09813852245292,0.33923,0.488862000515597
"YAL056W","GPB2",4.90800275966563,0.18195,0.328308747579083
"YAL055W","PEX22",5.33242535240427,0.12008,0.247054545454545
"YAL053W","FLC2",5.81526903383027,0.07798,0.182694132439229
"YAL049C","AIM2",6.57074725649764,0.01512,0.0548124513618677
"YAL048C","GEM1",4.44490473815568,0.25296,0.406451968956597
"YAL046C","AIM1",4.5577032124623,0.23556,0.387858733431517
"YAL044W-A","YAL044W-A",3.81193012411156,0.38138,0.52500081160846
"YAL044C","GCV3",2.69477296707041,0.63625,0.730015907224959
"YAL043C","PTA1",4.33486513239084,0.24802,0.401780237612286
"YAL042W","ERV46",2.95535105648923,0.81773,0.865201665404996
"YAL041W","CDC24",3.08849822586766,0.53565,0.652304661293836
"YAL040C","CLN3",4.31668355679032,0.27774,0.432757608695652
"YAL039C","CYC3",2.17684524563197,0.7537,0.816779166666667
"YAL038W","CDC19",0.741062441614558,0.99361,0.995390663082437
"YAL036C","RBG1",4.73888022875804,0.2034,0.354207476635514
"YAL035W","FUN12",3.59031993614324,0.41995,0.557380864197531
"YAL034W-A","MTW1",8.72832201094729,4e-05,0.0012561797752809
"YAL033W","POP5",7.7034538738378,0.00425,0.0217360475754803
"YAL032C","PRP45",5.59372853079456,0.09974,0.217072168158817
"YAL031C","GIP4",3.52944768879496,0.43422,0.569450926577528
"YAL030W","SNC1",6.81772079653352,0.01966,0.066124789410349
"YAL029C","MYO4",3.95217012962716,0.35889,0.505763246785984
"YAL028W","FRT2",5.86875888027813,0.05637,0.14467782369146
"YAL027W","SAW1",5.08831479768195,0.15754,0.297315530047265
"YAL026C","DRS2",7.36144387990053,0.0085,0.0358063300678222
"YAL025C","MAK16",3.82110668125691,0.37355,0.5179484375
"YAL024C","LTE1",6.8158921440505,0.02026,0.0675666666666667
"YAL023C","PMT2",8.00621844316689,0.00187,0.0121975495915986
"YAL022C","FUN26",7.70189142106076,0.00512,0.0246518518518519
"YAL021C","CCR4",5.29471079904125,0.13213,0.26557523364486
"YAL020C","ATS1",2.42846349627688,0.76196,0.823541453982985
"YAL019W","FUN30",4.12368696245766,0.34104,0.490206634096169
"YAL017W","PSK1",5.6390238541543,0.09048,0.201346815286624
"YAL016W","TPD3",5.3930630508153,0.11358,0.236642638837123
