"name","chrom","strand","txStart","txEnd","cdsStart","cdsEnd","exonCount","exonStarts","exonEnds","alias","tss","pas"
"YAL067C","chrI","-",7234,9016,7234,9016,1,"7234,","9016,","SEO1",9191,7058
"YAL063C","chrI","-",23999,27968,23999,27968,1,"23999,","27968,","FLO9",28211,23927
"YAL062W","chrI","+",31566,32940,31566,32940,1,"31566,","32940,","GDH3",31188,33011
"YAL061W","chrI","+",33447,34701,33447,34701,1,"33447,","34701,","BDH2",33359,34868
"YAL060W","chrI","+",35154,36303,35154,36303,1,"35154,","36303,","BDH1",35107,36387
"YAL059W","chrI","+",36508,37147,36508,37147,1,"36508,","37147,","ECM1",36559,37344
"YAL058W","chrI","+",37463,38972,37463,38972,1,"37463,","38972,","CNE1",37449,39011
"YAL056W","chrI","+",39258,41901,39258,41901,1,"39258,","41901,","GPB2",39215,41980
"YAL055W","chrI","+",42176,42719,42176,42719,1,"42176,","42719,","PEX22",42191,42790
"YAL053W","chrI","+",45898,48250,45898,48250,1,"45898,","48250,","FLC2",45744,48310
"YAL049C","chrI","-",51854,52595,51854,52595,1,"51854,","52595,","AIM2",52661,51719
"YAL048C","chrI","-",52800,54789,52800,54789,1,"52800,","54789,","GEM1",54825,52616
"YAL046C","chrI","-",57028,57385,57028,57385,1,"57028,","57385,","AIM1",57383,56911
"YAL044W-A","chrI","+",57517,57850,57517,57850,1,"57517,","57850,","YAL044W-A",57517,57961
"YAL044C","chrI","-",57949,58462,57949,58462,1,"57949,","58462,","GCV3",58476,57868
"YAL043C","chrI","-",58694,61052,58694,61052,1,"58694,","61052,","PTA1",61076,58626
"YAL042W","chrI","+",61315,62563,61315,62563,1,"61315,","62563,","ERV46",61274,62654
"YAL041W","chrI","+",62839,65404,62839,65404,1,"62839,","65404,","CDC24",62776,65463
"YAL040C","chrI","-",65777,67520,65777,67520,1,"65777,","67520,","CLN3",67844,65601
"YAL039C","chrI","-",68715,69525,68715,69525,1,"68715,","69525,","CYC3",69581,68654
"YAL038W","chrI","+",71785,73288,71785,73288,1,"71785,","73288,","CDC19",71759,73452
"YAL036C","chrI","-",75042,76152,75042,76152,1,"75042,","76152,","RBG1",76189,74850
"YAL035W","chrI","+",76426,79435,76426,79435,1,"76426,","79435,","FUN12",76401,79555
"YAL034W-A","chrI","+",79717,80587,79717,80587,1,"79717,","80587,","MTW1",79689,80675
"YAL033W","chrI","+",82705,83227,82705,83227,1,"82705,","83227,","POP5",82701,83299
"YAL032C","chrI","-",83334,84474,83334,84474,1,"83334,","84474,","PRP45",84494,83204
"YAL031C","chrI","-",84748,87031,84748,87031,1,"84748,","87031,","GIP4",87078,84595
"YAL030W","chrI","+",87285,87752,87285,87752,2,"87285,87500,","87387,87752,","SNC1",87264,87862
"YAL029C","chrI","-",87854,92270,87854,92270,1,"87854,","92270,","MYO4",92522,87695
"YAL028W","chrI","+",92899,94486,92899,94486,1,"92899,","94486,","FRT2",92854,94606
"YAL027W","chrI","+",94686,95472,94686,95472,1,"94686,","95472,","SAW1",94607,95578
"YAL026C","chrI","-",95629,99697,95629,99697,1,"95629,","99697,","DRS2",99783,95482
"YAL025C","chrI","-",100224,101145,100224,101145,1,"100224,","101145,","MAK16",101168,100022
